0,yield,change_bp,z
2022-09-01,3.16,14.63,2.29
2022-09-02,3.21,4.18,0.65
2022-09-05,3.14,-6.64,-1.03
2022-09-06,3.3,16.02,2.48
2022-09-07,3.32,2.09,0.32
2022-09-08,3.47,14.69,2.25
2022-09-09,3.47,-0.02,-0.0
2022-09-12,3.4,-7.15,-1.09
2022-09-13,3.42,2.43,0.37
2022-09-14,3.39,-3.21,-0.49
2022-09-15,3.41,2.51,0.38
2022-09-16,3.42,1.06,0.16
2022-09-20,3.54,11.49,1.74
2022-09-21,3.54,0.44,0.07
2022-09-22,3.72,17.94,2.71
2022-09-23,3.95,22.39,3.34
2022-09-26,4.35,40.77,5.97
2022-09-27,4.85,49.68,6.84
2022-09-28,3.72,-112.83,-14.33
2022-09-29,3.68,-3.75,-0.35
2022-09-30,3.54,-14.28,-1.34
2022-10-03,3.66,11.69,1.09
2022-10-04,3.87,20.66,1.93
2022-10-05,4.09,22.37,2.07
2022-10-06,4.21,12.12,1.11
2022-10-07,4.27,6.39,0.59
2022-10-10,4.61,33.29,3.05
2022-10-11,4.7,9.17,0.83
2022-10-12,4.81,11.48,1.03
2022-10-13,4.54,-27.12,-2.44
2022-10-14,4.75,20.71,1.84
2022-10-17,4.34,-41.13,-3.65
2022-10-18,4.21,-13.1,-1.13
2022-10-19,3.85,-35.42,-3.05
2022-10-20,3.77,-7.88,-0.67
2022-10-21,3.9,12.24,1.03
2022-10-24,3.63,-26.54,-2.24
2022-10-25,3.55,-7.65,-0.64
2022-10-26,3.58,2.6,0.22
2022-10-27,3.51,-7.54,-0.63
2022-10-28,3.41,-9.95,-0.83
2022-10-31,3.49,8.01,0.67
