,fc_252d,corr_252d,fc_2520d,corr_2520d,realised,realised_corr,realised_dd
1990-01-31,,,,,0.1114,0.4928,-0.123
1990-02-28,,,,,0.1134,0.4996,-0.123
1990-03-30,,,,,0.114,0.489,-0.123
1990-04-30,,,,,0.1159,0.4977,-0.123
1990-05-31,,,,,0.1157,0.5003,-0.123
1990-06-29,,,,,0.1155,0.5101,-0.123
1990-07-31,,,,,0.115,0.5157,-0.1089
1990-08-31,,,,,0.1048,0.4207,-0.0503
1990-09-28,,,,,0.1017,0.419,-0.0425
1990-10-31,,,,,0.0934,0.3422,-0.0395
1990-11-30,,,,,0.0926,0.3369,-0.0395
1990-12-31,,,,,0.0955,0.3654,-0.0343
1991-01-31,0.1115,0.493,,,0.0894,0.2903,-0.0343
1991-02-28,0.1134,0.5028,,,0.0865,0.2992,-0.0343
1991-03-28,0.1138,0.4892,,,0.0843,0.2844,-0.035
1991-04-30,0.1159,0.5,,,0.0831,0.2681,-0.0404
1991-05-31,0.1155,0.5001,,,0.0811,0.2415,-0.0404
1991-06-28,0.1155,0.5101,,,0.0789,0.2096,-0.0404
1991-07-31,0.115,0.5185,,,0.0793,0.2132,-0.0404
1991-08-30,0.1048,0.4207,,,0.0756,0.2289,-0.0404
1991-09-30,0.0997,0.4044,,,0.0771,0.2308,-0.0404
1991-10-31,0.0931,0.3383,,,0.0769,0.2202,-0.0404
1991-11-29,0.0926,0.3369,,,0.0731,0.2151,-0.0404
1991-12-31,0.0954,0.3835,,,0.0675,0.1766,-0.0404
1992-01-31,0.0895,0.2974,,,0.067,0.2294,-0.0348
1992-02-28,0.0865,0.3074,,,0.0666,0.1698,-0.0348
1992-03-31,0.083,0.2759,,,0.0688,0.1899,-0.0348
1992-04-30,0.0829,0.2647,,,0.067,0.1938,-0.0348
1992-05-29,0.0811,0.2415,,,0.0673,0.2034,-0.0348
1992-06-30,0.0787,0.2187,,,0.068,0.2464,-0.0348
1992-07-31,0.0792,0.2104,,,0.0674,0.27,-0.0348
1992-08-31,0.0755,0.2306,,,0.0668,0.272,-0.0348
1992-09-30,0.0771,0.2297,,,0.066,0.2831,-0.027
1992-10-30,0.0771,0.2236,,,0.0635,0.3078,-0.0258
1992-11-30,0.0722,0.207,,,0.0642,0.3154,-0.0297
1992-12-31,0.0677,0.1834,,,0.0638,0.3201,-0.0297
1993-01-29,0.067,0.2294,,,0.0639,0.3086,-0.0297
1993-02-26,0.0666,0.1698,,,0.066,0.426,-0.0336
1993-03-31,0.0688,0.1901,,,0.0657,0.4718,-0.0581
1993-04-30,0.0669,0.1946,,,0.0726,0.5704,-0.0864
1993-05-28,0.0675,0.21,,,0.0745,0.5951,-0.0865
1993-06-30,0.0676,0.2441,,,0.0755,0.6009,-0.0865
1993-07-30,0.0674,0.27,,,0.0761,0.6269,-0.0865
1993-08-31,0.0667,0.2688,,,0.0776,0.6361,-0.0865
1993-09-30,0.0661,0.2957,,,0.0787,0.6551,-0.0865
1993-10-29,0.0635,0.3078,,,0.0812,0.6494,-0.0865
1993-11-30,0.0643,0.3147,,,0.0818,0.647,-0.0865
1993-12-31,0.0639,0.3242,,,0.0828,0.6316,-0.0865
1994-01-31,0.0638,0.3091,,,0.0825,0.6456,-0.0853
1994-02-28,0.0657,0.4413,,,0.0803,0.6237,-0.0602
1994-03-31,0.065,0.4648,,,0.0785,0.6166,-0.0435
1994-04-29,0.0726,0.5704,,,0.0705,0.5593,-0.0435
1994-05-31,0.0742,0.5916,,,0.0679,0.4991,-0.0435
1994-06-30,0.0759,0.6045,,,0.0693,0.4838,-0.0435
1994-07-29,0.0761,0.6269,,,0.0711,0.4942,-0.0435
1994-08-31,0.0776,0.6357,,,0.0693,0.4693,-0.0405
1994-09-30,0.0786,0.6539,,,0.0671,0.4514,-0.0313
1994-10-31,0.0812,0.6561,,,0.0646,0.4375,-0.0229
1994-11-30,0.0818,0.6447,,,0.0628,0.4604,-0.0201
1994-12-30,0.0828,0.6316,,,0.0633,0.462,-0.0201
1995-01-31,0.0825,0.6456,,,0.0671,0.4646,-0.0279
1995-02-28,0.0803,0.6237,,,0.0708,0.495,-0.03
1995-03-31,0.0785,0.6166,,,0.0776,0.5367,-0.0459
1995-04-28,0.0705,0.5593,,,0.0819,0.5645,-0.0521
1995-05-31,0.0687,0.4867,,,0.0832,0.6204,-0.0521
1995-06-30,0.0693,0.484,,,0.0807,0.5992,-0.0521
1995-07-31,0.071,0.4938,,,0.0851,0.5814,-0.0521
1995-08-31,0.0693,0.4699,,,0.0886,0.6156,-0.0521
1995-09-29,0.0671,0.4514,,,0.0897,0.624,-0.0521
1995-10-31,0.064,0.4298,,,0.0905,0.6343,-0.0521
1995-11-30,0.0623,0.4536,,,0.0906,0.6307,-0.0521
1995-12-29,0.0633,0.462,,,0.0925,0.6271,-0.0521
1996-01-31,0.0673,0.4648,,,0.0926,0.6236,-0.0521
1996-02-29,0.071,0.4966,,,0.0928,0.6089,-0.0465
1996-03-29,0.0776,0.5367,,,0.0912,0.5865,-0.0575
1996-04-30,0.0819,0.5636,,,0.0942,0.5746,-0.0724
1996-05-31,0.0834,0.63,,,0.095,0.5487,-0.0724
1996-06-28,0.0807,0.5992,,,0.0982,0.5626,-0.0724
1996-07-31,0.0854,0.5858,,,0.0959,0.5718,-0.0724
1996-08-30,0.0889,0.6183,,,0.0985,0.5275,-0.0724
1996-09-30,0.0897,0.6254,,,0.1027,0.5393,-0.0724
1996-10-31,0.0902,0.6324,,,0.1153,0.3526,-0.0724
1996-11-29,0.0907,0.6299,,,0.1181,0.3308,-0.0724
1996-12-31,0.0935,0.6345,,,0.117,0.2607,-0.0724
1997-01-31,0.093,0.6214,,,0.1184,0.1886,-0.0724
1997-02-28,0.0925,0.6072,,,0.1165,0.1696,-0.0651
1997-03-31,0.0912,0.5865,,,0.1139,0.1398,-0.0631
1997-04-30,0.0944,0.5763,,,0.1118,0.1331,-0.0631
1997-05-30,0.095,0.5487,,,0.1098,0.1064,-0.0631
1997-06-30,0.0982,0.5641,,,0.1084,0.0393,-0.0631
1997-07-31,0.0951,0.5649,,,0.1078,-0.0093,-0.0631
1997-08-29,0.0985,0.5275,,,0.116,-0.1297,-0.1037
1997-09-30,0.1028,0.541,,,0.1233,-0.2758,-0.1037
1997-10-31,0.1154,0.3515,,,0.1182,-0.2361,-0.1037
1997-11-28,0.1181,0.3308,,,0.1165,-0.2507,-0.1037
1997-12-31,0.1168,0.2576,,,0.1177,-0.2569,-0.1037
1998-01-30,0.1179,0.1958,,,0.1183,-0.2777,-0.1037
1998-02-27,0.1164,0.1683,,,0.1232,-0.2359,-0.1037
1998-03-31,0.114,0.1412,,,0.1259,-0.241,-0.1037
1998-04-30,0.1118,0.1331,,,0.1269,-0.2562,-0.1037
1998-05-29,0.1099,0.1083,,,0.1311,-0.2109,-0.1037
1998-06-30,0.1084,0.0393,,,0.1335,-0.1466,-0.1037
1998-07-31,0.1078,-0.0093,,,0.1334,-0.1283,-0.071
1998-08-31,0.116,-0.1297,,,0.1275,-0.0195,-0.0707
1998-09-30,0.1233,-0.2758,,,0.1205,0.0986,-0.0707
1998-10-30,0.1183,-0.2309,,,0.1208,0.16,-0.0783
1998-11-30,0.1165,-0.2507,,,0.1208,0.1999,-0.0783
1998-12-31,0.1177,-0.2569,,,0.1186,0.259,-0.0783
1999-01-29,0.1182,-0.2837,,,0.1214,0.2779,-0.0783
1999-02-26,0.1231,-0.2389,,,0.1199,0.2292,-0.0783
1999-03-31,0.1259,-0.241,,,0.1254,0.2391,-0.0783
1999-04-30,0.1269,-0.2562,,,0.1305,0.1155,-0.0783
1999-05-28,0.1311,-0.2109,,,0.1309,0.0817,-0.0783
1999-06-30,0.1335,-0.1466,,,0.1311,0.0489,-0.0783
1999-07-30,0.1339,-0.1279,,,0.1314,0.0348,-0.0688
1999-08-31,0.1275,-0.0195,,,0.1267,-0.0392,-0.0688
1999-09-30,0.1205,0.0986,,,0.1244,-0.0592,-0.0688
1999-10-29,0.1208,0.1518,,,0.1237,-0.1056,-0.0755
1999-11-30,0.1208,0.1999,,,0.1261,-0.1333,-0.0755
1999-12-31,0.1186,0.259,0.0954,0.2738,0.1317,-0.1585,-0.0785
2000-01-31,0.1221,0.2729,0.0958,0.2662,0.129,-0.2489,-0.0785
2000-02-29,0.1201,0.2281,0.0959,0.2588,0.1284,-0.2482,-0.0816
2000-03-31,0.1247,0.2211,0.097,0.2555,0.1274,-0.3031,-0.1271
2000-04-28,0.1305,0.1155,0.098,0.236,0.1272,-0.2828,-0.1383
2000-05-31,0.1319,0.0694,0.0985,0.2279,0.1242,-0.2649,-0.1383
2000-06-30,0.1311,0.046,0.0987,0.228,0.1227,-0.2783,-0.1383
2000-07-31,0.1315,0.035,0.0985,0.2226,0.1232,-0.296,-0.1383
2000-08-31,0.1268,-0.0366,0.0976,0.2154,0.1234,-0.329,-0.1383
2000-09-29,0.1247,-0.0614,0.097,0.2107,0.1303,-0.3608,-0.1608
2000-10-31,0.1244,-0.1117,0.0971,0.2002,0.1286,-0.3365,-0.1608
2000-11-30,0.1264,-0.1365,0.0974,0.1963,0.1279,-0.3047,-0.1608
2000-12-29,0.1317,-0.1585,0.098,0.1886,0.1232,-0.2867,-0.1608
2001-01-31,0.1287,-0.2534,0.0978,0.1632,0.1211,-0.2526,-0.1608
2001-02-28,0.1284,-0.2482,0.0979,0.16,0.1217,-0.2619,-0.1393
